CountryCode,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18,comp19,comp20,comp21,comp22,comp23
ABW,0.0017264916794296023,0.04925040481697848,0.17646504155101475,0.06996466351650914,0.05653406827337662,0.000875741953686688,0.07588800654534457,0.05344762103127578,0.020399149596090214,0.07907209014226531,0.10646857496904139,0.08084006819946914,0.16130440432459378,0.04762221575021978,0.0005044381168177057,0.0012780031870262781,5.3703461391283216e-05,0.0034410883888572543,2.2881272135482694e-05,0.006236827013850642,0.002600393053998972,0.0031540752153406504,0.0028500479412865887
AGO,0.769555402084301,0.04874648612291431,5.860869119615601e-06,0.05231170287990309,0.001229118268386743,0.0012138996834765807,0.033562097334085564,1.85995194200751e-05,0.0021665197221715734,0.001979593760984463,0.008272220743715069,0.06053843747037244,0.0008598472904249875,0.00231339297357772,0.00019156949863007142,9.03195895894855e-05,0.00018034206700136607,4.8182167816363054e-05,0.0076326053669075,2.209045082663693e-08,0.006254205340887631,0.0028225285681799405,7.046587683409921e-06
ALB,0.1227582212066417,0.12341846283561353,0.18637768269166025,0.026758575125264125,0.18376572933599042,0.02374678654158875,0.027100542259707355,0.02980944250199132,0.009278710898685316,0.05431555765139454,0.029314915271590865,0.14436494708658631,0.0017380375110971626,0.004035337454237883,0.021773588017530456,0.008656937990346694,3.421290981745981e-05,0.0006415923338771615,0.0007530481944831567,1.2540082660691165e-05,0.0011382962267319115,2.2822281629020285e-05,0.00018401359087383547
AND,0.374238780033623,0.04523022068158576,0.17825462862162217,0.0017540791156548372,0.0007070670583696467,0.15639850302649952,0.008007493790309884,0.0029324250848332765,0.11251964618918231,0.0036894160873006112,0.016103282066677074,0.009324994463468178,0.009997983906730479,0.02220621002523591,0.0034998382881352838,0.01993301186240299,0.007572675671255765,0.002704173443753032,0.0003803941803614952,0.00267715507975586,0.0027482662683060355,0.018779629537215414,0.0003401255177213668
ARE,0.16061516676714274,0.03986364469057528,5.6467295017979704e-05,0.06677888026378309,0.0649132783356721,0.42521003448601735,0.009708429319313469,2.3311928414548813e-05,0.00015405101159985616,0.009845432644696379,0.03390362646818195,2.353624728995083e-05,0.11678172106870421,0.005086636514569484,0.010344114018612387,0.01855595601908563,0.02861206990032437,0.0030703167144521537,0.0030750518973799283,0.0022123843057419365,5.3773484948673674e-05,0.0009628476052132507,0.0001492690132633346
ARG,0.01931796066325044,0.019816954962722202,0.11092813547214952,0.3334458250768161,0.004503047574485591,0.00992312713783283,0.07743840389773918,0.04090761061848192,0.0009304059541577867,0.0823607268022752,0.20891548618644715,0.02634473068428623,0.01984139268304233,0.011936494591617032,0.0056036473278005825,0.00990440467054314,0.0002335927683849599,0.0008949031021904273,0.01519618132177696,0.000399005290935722,0.0009969559851636532,0.00010273675650535394,5.82704713957773e-05
ARM,0.3949133989821301,0.28790669755868253,0.20964001732668136,0.012304901014009691,0.01942857007033081,0.01454991390641608,0.01469672133104578,0.0025363395700651247,0.00033720654896274874,2.5057869418844157e-08,0.00826473393490133,0.0011996833332937901,0.003216514327581753,0.01791239175667686,0.002142595119589132,0.0009611653598693458,0.00025178929746549265,0.007536495872837756,0.0002385490188134209,0.0013379526882441417,0.0006059678434653437,1.8366734408436727e-05,3.3466594682800074e-09
ASM,0.09239247655042224,0.35580954377406626,0.024296539406289595,0.04021344074533518,0.00010208582195496691,0.032545058378010326,0.00047714499354590384,0.001422696220745905,2.9513721777897738e-05,0.01005516376458885,0.0003688061758739085,0.003324159583751834,0.01605012969095509,0.01707666196132006,0.13800610389763873,0.0860828160177996,0.0178863428492754,0.061907082837635255,0.0009325869603978467,0.003591665647662158,0.0972605991766203,0.00016570790006360884,3.6739242689915283e-06
ATG,0.0259080875565151,0.001366879065496593,0.023911305135193395,0.013677957302647757,0.0069626206468036385,0.4061883106163102,0.010595715204298082,0.17130443259832598,0.008895434952388514,0.026082414563028528,0.0041105458114430475,0.0014347630648246048,0.1875473974506047,0.03348504574789417,0.06628258015154026,0.0002447451304245115,0.0002488475405692098,0.006279815287119474,0.0001231617863503237,2.1877746393366703e-05,0.0011975908788306293,0.003186103530872693,0.0009443682321251227
AUS,0.4242010692912195,0.153374941471228,0.01713118703488795,0.04935972183184352,0.045482042488842155,0.06828735152954114,0.012831954833871248,0.06936061317942346,0.003284859836455193,0.021601471721841826,0.0005232210240331324,0.04744724841550033,0.062227602778988436,0.00927411877271473,0.0019237896204909828,0.00580408944947372,0.001972642593764978,0.004949758119867405,0.0001720972509279877,0.00022108750983004924,0.00033583993731735274,0.00015945063764469418,7.384067029222304e-05
