,Varianta,Varianta cumulata,Procent varianta,Procent cumulat
comp1,593846612.8045673,593846612.8045673,99.78229691708951,99.78229691708951
comp2,1293108.7234378417,595139721.5280051,0.21727724938732013,99.99957416647683
comp3,1331.8266385576267,595141053.3546437,0.00022378290660450537,99.99979794938344
comp4,300.8706605145025,595141354.2253042,5.055441074137929e-05,99.99984850379418
comp5,240.44692625467542,595141594.6722305,4.0401588677986343e-05,99.99988890538286
comp6,208.26991786627124,595141802.9421483,3.49949807498006e-05,99.99992390036361
comp7,99.5386498311368,595141902.4807981,1.672518609691109e-05,99.99994062554971
comp8,95.60335808175539,595141998.0841562,1.6063950617369214e-05,99.99995668950032
comp9,75.66800204214725,595142073.7521582,1.271427147026139e-05,99.99996940377179
comp10,55.23344027630939,595142128.9855984,9.280712255601916e-06,99.99997868448405
comp11,40.179447332619404,595142169.1650457,6.751234169331536e-06,99.99998543571822
comp12,31.25223161690071,595142200.4172773,5.251220411600628e-06,99.99999068693863
comp13,21.112101765952083,595142221.5293791,3.5474042648910743e-06,99.99999423434289
comp14,17.380595961687614,595142238.909975,2.9204103373674104e-06,99.99999715475323
comp15,9.719660434979401,595142248.6296355,1.633165909419064e-06,99.99999878791914
comp16,2.870739185816568,595142251.5003747,4.823618483868356e-07,99.999999270281
comp17,2.026386056012505,595142253.5267607,3.404876793937901e-07,99.99999961076867
comp18,1.3588721915281172,595142254.8856329,2.2832729119574407e-07,99.99999983909596
comp19,0.5597914963522838,595142255.4454243,9.406011602371104e-08,99.99999993315608
comp20,0.2598252192618457,595142255.7052495,4.365766616482413e-08,99.99999997681374
comp21,0.07243085654179614,595142255.7776804,1.2170343448251847e-08,99.99999998898409
comp22,0.04653602639304442,595142255.8242164,7.819311422797356e-09,99.9999999968034
comp23,0.019024707895837257,595142255.8432411,3.196665622218617e-09,100.00000000000006
