,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18,comp19,comp20,comp21,comp22,comp23
C,0.019984509919677377,0.02116111927549851,0.1105946951008195,0.3041591246972029,0.8457378242024203,0.9060917445454441,0.9401220511407083,0.9525214588662223,0.9536011561639005,0.9890014847942236,0.9946686964449706,0.9959816432073466,0.996013514871313,0.9990052270487142,0.9990075888385903,0.9991229030462941,0.9996553621447057,0.9996560227960678,0.9999988415894265,0.9999996424513248,0.9999999952841094,0.9999999996702558,0.9999999999994008
C_Test,0.0001527933465442187,0.002431847528354812,0.1338456632137149,0.13559472150351085,0.2543317435694781,0.26627310780349867,0.34772591916551615,0.3562951726081816,0.35973201489447915,0.532015215426664,0.5877947964024918,0.6047487836237414,0.6062699557165454,0.6438429438955242,0.6457215675006183,0.6485663863137121,0.6625845037192617,0.6640224723698229,0.6675697551639209,0.6676206662996452,0.6956369356157708,0.9371232061813533,1.0000000000923566
Html,0.01405577243030263,0.0145844962191491,0.1821024042790392,0.2398189997615778,0.6115327126296852,0.6611600784609117,0.7144377056967905,0.7183775713663745,0.7194462860510726,0.8835927897653127,0.9499015367880024,0.9506218249223095,0.9509280039188428,0.9858029463962159,0.9860432650307754,0.9863942329209746,0.9885481310876278,0.999935313063038,0.9999815430587455,0.999990119546743,0.9999986369382706,0.9999988992318509,0.9999999999997135
Html_test,3.4067225611857224e-05,5.7565557042729335e-05,0.05440198936487647,0.26505437102884805,0.7463054760949464,0.8137929883461744,0.8543781434330164,0.867795276354669,0.870508439551085,0.9280986232032774,0.9445061363794581,0.944771630118498,0.9451467004012598,0.9525341777516217,0.9533971912704791,0.9548811816958622,0.9610219127938043,0.9610258019399727,0.9968758069189851,0.9968819601648414,0.9977768186952343,0.999371683970403,1.0000000000000417
Java,0.029791212983799588,0.04306733751516131,0.2166176330216784,0.35636051000196567,0.8934362508064597,0.9379057383300716,0.9484660215172993,0.9521754580076653,0.9526842815152324,0.9527707344452018,0.9535200698946017,0.9540529081947839,0.9552516134890994,0.9563780357577842,0.9565522724635717,0.9640907367818949,0.9989284661826587,0.9993813500220399,0.9999900142670577,0.9999908556611804,0.999996369596084,0.999999791471226,1.0000000000003018
Java_test,0.00402017267181539,0.018180665057384537,0.1732791441610688,0.17689987116657022,0.2866282084917435,0.2892100047723865,0.30752971483225927,0.3097794817779124,0.3147327007329805,0.4631283396562612,0.4792086657467098,0.5203406793250104,0.5207743295441973,0.5579581237912519,0.559785017758597,0.5663038458090457,0.5687319358178513,0.5811635436330329,0.5873086414119558,0.5874489736461822,0.9682063009605475,0.9729433696380158,0.9999999999628677
PHP,0.04781968966298941,0.04839051082189568,0.20992228939562255,0.26168421677382653,0.6540792553296043,0.6862953248743487,0.7290866060653758,0.7319845950038681,0.7322489049092354,0.8838346402950406,0.9472406794511842,0.9472596221048316,0.94763966303949,0.9867884638320131,0.9868996971887329,0.9869506359407019,0.9869524110571557,0.9998872668139472,0.999983642583931,0.9999865843416353,0.999991620124848,0.9999982310898253,1.0000000000002678
PHP_test,0.0015223849586155037,0.0015246844019955342,0.057448822461113755,0.24167940391710918,0.7699438066849359,0.8383210369079981,0.864841775573631,0.8753877538058867,0.877277875654035,0.9205401898908496,0.9302087094062147,0.9329633109371798,0.933037895337673,0.9366659877649803,0.9369047027520983,0.9407177620146352,0.9544894224349711,0.9639875265515296,0.99716689969501,0.9973876849884336,0.9983262153901844,0.999459248037585,1.0000000000018687
InternetPenetration,0.4102067039208332,0.4103879259365582,0.9207376668046305,0.9671767038541222,0.984229168643901,0.9864723227226786,0.9868060866001588,0.9868066560062057,0.9870864322734836,0.9870894527225406,0.9871287380229752,0.9890459083410426,0.999326104760672,0.9993339833025416,0.9999981877425181,0.999998189442514,0.99999910956183,0.9999995045880532,0.9999999905487782,0.9999999991903141,0.9999999992065983,0.9999999999949,1.0000000000000087
InternetUsers,0.3887041150514451,0.3887209965439913,0.9331805860572084,0.9658437937560546,0.9776813113364226,0.9835918686808715,0.9851647385242033,0.9863043278376118,0.9870662772294603,0.9875940635575327,0.9876103201853099,0.9877208516101754,0.9993319380108074,0.9993572085872727,0.9999972647817278,0.9999974691199041,0.9999990887726179,0.9999995531600246,0.9999999967938309,0.9999999980412346,0.9999999985849238,0.9999999999693934,1.0000000000000155
UploadSpeed,0.06389575224976021,0.07216406772498396,0.14570581764405444,0.2817475321173891,0.4571846945349225,0.8911515808283524,0.8923063910442699,0.9320061597052467,0.9413283286716104,0.945703651768495,0.9470659012196848,0.9486891314658555,0.955828033435418,0.9561759667971738,0.9999767385304187,0.999981663001517,0.999981665361027,0.9999971539463841,0.9999996866260535,0.9999999788439908,0.9999999906975436,0.9999999994084939,1.0000000000001215
Download,0.17829513303873276,0.19623837113221676,0.36059233035435556,0.476792171218474,0.5895757405620694,0.9413136349468563,0.9505143941073131,0.9724510630233331,0.9726617497915593,0.972904985519442,0.9734807415753333,0.9737358721383688,0.9815474661994145,0.981560458534502,0.9999934818212467,0.999994342304552,0.9999980966819803,0.9999994716640238,0.9999998432457535,0.9999999948802825,0.9999999996466487,0.9999999999861726,1.000000000000078
