,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
C,0.6601915042889325,-0.6007779265829827,0.39050107091874126,-0.174401415580569,-0.0033860357823037785,0.0362967639896701,0.006838671978381969,0.020807976206216664,-0.017492748456234834,-0.007719414310820167,0.006915079801547957,0.006139525288031965,0.020013744351565194,0.006046637369869515,0.011237615685649757,-0.015303022489674786,0.021444350110746885,-0.06307563111219863,0.011160259301743615,-0.019471325403598798,0.061375228354494236,-0.05953775963660694,0.0
C_Test,0.540300310118514,-0.2585780155751547,-0.5882617877826353,0.3045745290447541,0.11691062251997474,-0.08386942664213427,0.039149837041712494,0.019935286514920336,0.0018630186403450096,0.019430846339815483,-0.10124584689334475,-0.17173935577392593,0.343639346367786,-0.11273609220673793,0.04567492781829801,-0.00927443426467434,0.012755410250107124,-0.03806071162318636,0.004618891861423715,0.0008606200786702607,-0.006033262253119693,-0.00016702876206637984,0.0
Html,0.7486216999117422,-0.4563069732962982,-0.3259392971040962,0.20013226629721653,0.04856119130175648,-0.07526818787824333,0.012441516876447303,-0.1104193373883068,0.10580464217344866,0.11431092367207522,0.03464501338312253,0.07801877785194845,-0.07851194310289684,-0.020897560438995884,-0.09150638263618137,0.004001921964985269,-0.02994579760246097,0.04513235254248787,0.024917652043346408,-0.09715712453281475,0.00958560518654276,0.011848359900499891,0.0
Html_test,0.5189921912345057,-0.6909637422789364,0.41038978343126753,-0.21415214326997614,-0.023268759377224297,0.05673463981402381,-0.04621824600504612,0.06638014775726549,-0.08042280846582452,-0.03335800459888481,-0.030456238355387546,-0.02414103240874433,0.04510621149917616,0.03548752233182811,0.07724349105978816,0.03139607714399653,-0.02520889832227155,0.04298561417978307,0.017004564691051875,-0.0290381569574406,-0.022716678109869704,0.027836935556238375,0.0
Java,0.7909488850193193,-0.514607455708478,0.1904597149129406,-0.08138920800949916,0.01823121958000188,0.07861693129421153,0.08412373085195851,0.009072032792657014,0.014322828128918089,-0.015509891118910442,-0.0002465725869858808,0.013812211714964637,-0.09762823332255859,-0.025161442247234364,-0.08350922708735312,-0.08874276662332319,0.0584677303414412,-0.12216074637449163,0.030485432721610993,0.02536470518143184,-0.039458111566763585,0.030362797586913376,0.0
Java_test,0.5927695980917886,-0.10209440507755718,-0.5214519952438107,0.21684300519955615,0.10628917826142491,0.11728646607808664,0.13030253088714688,0.0929151301591047,-0.4614814382626884,-0.08737699464095218,0.08254819133425224,-0.006719796739944444,-0.15466440035106485,0.06543442319535653,0.06321338689871875,0.061120538329414616,-0.004752392841732572,-0.01054245008076813,-0.004203575077945441,0.006408980708281649,0.0029728747517222725,-0.0033452464331380936,0.0
PHP,0.7986921138602907,-0.3874980107463728,-0.2768045842867564,0.1511587568030143,0.053565432460971125,-0.09190219780136195,0.051063521484838566,-0.1336499305250718,0.1393943060359089,0.10216640771669508,0.09720314388767554,0.0594181534034139,-0.06738643648958517,-0.025814328722692733,-0.12485052345889616,0.03051297804441717,0.001531677722436877,0.05076890373157891,-0.05792223967761718,0.07182225505646699,-0.0008405920065840247,-0.013847578294925486,0.0
PHP_test,0.5616298895880777,-0.6785965209530689,0.37565226567948473,-0.21521255856405475,-0.004165729885094974,0.020369453976417172,-0.03995393099898279,0.046126826187439504,-0.009098914290241131,-0.023155371505889994,-0.012076434589561034,-0.007231328596129908,0.09700214182767755,-0.004683475787988474,0.06449252307619177,0.06562161114938682,-0.03096358061176181,0.07288403578324004,-0.0420652153253905,0.03455160378697608,-0.00922819955859008,0.006003202213029763,0.0
InternetPenetration,0.7391452564628297,0.4106614578937615,0.26520047910785505,0.2748370994983575,-0.12617426222240158,-0.1363960469018374,-0.1431763398533159,0.03159861623386815,0.0439819453614957,0.0514649691688017,-0.10179797947645948,-0.1793233955267746,-0.11782940494259025,-0.03432876674911591,0.022222589935823742,0.04079947022554856,-0.029462894114854428,-0.023363199192415807,-0.0032263942115512804,0.01955512385833186,0.07312082126194956,0.0355933681166999,0.0
InternetUsers,0.7463672934255999,0.41503554478112936,0.2513363184482766,0.2595333729278519,-0.0742219584081611,-0.13251415291887203,-0.19355005224537883,0.03713599423005581,0.03010792777636442,0.04183237625506418,-0.10897572099208722,-0.16194172405396415,-0.14331413050849848,-0.0366831952863379,0.0436124148438294,0.01717947687730928,0.03521510564311029,0.022341586059685867,0.0029400951535072713,-0.016587905394018432,-0.07095253289023468,-0.03672547804101732,0.0
