,u1,u2,u3,u4,u5,u6,u7,u8
ABW,0.01119880472764726,-0.011184867280405868,-0.04299799203296906,-0.11052402734694568,-0.14441084908985682,-0.041350035804602406,-0.061500951975115584,0.08780393395870777
AGO,0.06497948656201441,0.06351495690551263,-0.025987445317057198,-0.016935046044352694,0.07003690692732639,0.012848468169001844,0.11839741192681918,-0.047696936583209705
ALB,-0.049574997703463415,-0.1524521181778724,-0.07424872261992158,0.12302787460971286,-0.051575846600654646,-0.04057367330224698,0.010153729132801704,0.02432994798371128
AND,-0.05849335639853335,-0.036579760680160875,-0.08013124604904444,-0.1523471333680861,0.03124330820991018,-0.06569827751758577,0.008460908591063415,0.007402048133425996
ARE,-0.011030509779336428,-0.003548734181233333,-0.11897172041853261,-0.026253036817550406,-0.17380141392084147,0.02860041012002877,0.1454696882017173,0.08837137651903638
ARG,0.03456713959930706,0.02449529257915984,0.03024928427084184,0.07540910631582924,0.017335685360829894,-0.13094357446889446,-0.03538346281450558,0.04446589613650099
ARM,-0.12419741086225781,-0.23490389727293876,-0.03421193768840744,0.04602700515241462,-0.03993572092958671,0.12711368344102159,0.11024077820227705,-0.02734374794639424
ASM,0.04899477347378816,-0.03806021150818918,0.11877887114835517,0.007036143027892959,-0.09875768622762522,0.11324265416731812,-0.19988098706092422,0.012126319986485437
ATG,0.0007150352763925369,-0.022070544297817154,-0.037761081238064036,-0.06311492197446941,-0.056189344585582085,0.006035291448783899,0.09878226953632481,0.049924051226378656
AUS,-0.05281072080108787,0.025379703338232498,-0.09963641226305248,0.07020076903379022,0.05076253214024226,-0.09826436503795144,-0.05320174620885586,0.04557217734739937
AUT,-0.04550470094856807,0.1568878106492938,0.03493333997916183,0.001928962981142641,-0.045933447677042286,0.041981277564143056,0.01116744358713312,-0.04447807185357582
AZE,0.010478487282475872,-0.0798601308049547,0.04747544039153139,-0.13489065032883618,-0.08268854845570565,0.08409944630445569,-0.052448263490425674,0.06793434149291544
