,z1,z2,z3,z4,z5,z6,z7,z8
ABW,0.0787137168928626,-0.11276468910917203,-0.015381858905798712,-0.13494092894295856,-0.12555135132832085,0.0495027052406051,-0.04858412310465958,-0.0571818162602682
AGO,0.05308638229584268,0.011747309488706881,0.011235135572677926,0.008784330015631742,0.017979892782435006,0.005862012718260516,0.008906204352180303,0.005059345553234473
ALB,-0.03564918608808556,-0.06652780783378967,-0.053627928156743714,0.09551392403018172,-0.05095932354828123,-0.07128905128364499,-0.04814738223929431,0.02331349480662965
AND,-0.018781671526245266,-0.01745925190113152,0.08285980833843534,0.05208955791416172,-0.24337125027724918,0.0654651069312237,-0.004430617629372461,0.0634066292326116
ARE,-0.02047736282508844,-0.03296997985134105,-0.0649868653621324,-0.06924822376386996,-0.009589754754826619,-0.05387234683504914,0.023600983902709188,-0.06451226464213539
ARG,0.0039675518789277844,0.02821254286460731,0.02026652116064647,0.013067817149086459,0.012107321322899517,0.012389042121795478,-0.004186426054092691,0.0042209709055189715
ARM,-0.26510847147720423,-0.41484697137204773,-0.19081780411464513,0.16478854700262013,0.2014135220419695,0.435412224541355,0.29076000114761763,0.13780082320010498
ASM,-0.10950184236842274,0.048688190834571286,0.08913173719968043,0.000324019991311985,-0.3439416930600376,0.05749218143861558,0.02147371730704443,0.04767478966639086
ATG,0.0005237791683563813,0.01231139618678915,0.009466906048281916,0.03464618199425733,-0.07992462087292052,-0.03378834172172334,-0.008812715290662526,0.004596945321987391
AUS,-0.04010224937617686,0.0021703149885568015,-0.028283451668523106,-0.004307133672442381,-0.004947053211305585,-0.04853080721896555,0.003470909184952719,-0.02462247938837388
AUT,0.0035177858359625044,0.027450511577020685,0.017666242506193523,-0.011257358841685468,0.01256628224667007,0.020317140900335172,0.003871851380526658,-0.007289882926972569
AZE,0.03192068814636903,0.01325589409168629,0.006930217140121414,-0.0052617012663043975,0.018322390448787345,0.014324128262000455,-0.002299451662635555,-0.003906869635161647
BDI,0.0533668910657676,0.011939053899801037,0.010883099258966975,0.009202832210340952,0.018121704318132745,0.006018512509565369,0.007666071565885631,0.005636012651441112
BEL,-0.012572030083491543,0.03792586239248959,0.009850238795701956,0.012285399923996082,0.008258659575643444,0.013203104805202197,-0.010027240836307532,0.007497956804289047
BEN,0.050725094726176284,0.012650712838993739,0.008726645354710169,0.005916401513963426,0.016400628764868936,0.010094341325285307,0.00578803810111694,0.005003520725195259
